Acc_x (mg),Acc_y (mg),Acc_z (mg),Gyro_x(rad/s),Gyro_y(rad/s),Gyro_z(rad/s),dt(s),Roll(degree),Pitch(degree),Yaw(degree)
137.201074,64.2366,-877.914486,0.257034,0.134003,-0.291092,0.002425,172.800011,-7.94494,82.826912
128.233285,65.073849,-884.422832,0.274445,0.100219,-0.306232,0.002475,172.844777,-7.960957,82.868333
119.387506,70.541533,-893.040827,0.292619,0.072211,-0.316566,0.00245,172.889703,-7.969135,82.910532
110.90776,77.047425,-905.550934,0.306822,0.050939,-0.322182,0.00245,172.934372,-7.970698,82.953444
105.11225,81.197438,-915.229917,0.319346,0.047782,-0.322766,0.00245,172.979385,-7.969416,82.996573
100.719863,81.798427,-929.814277,0.329884,0.067216,-0.318679,0.00245,173.025896,-7.96888,83.03946
89.982918,77.887863,-937.185568,0.33752,0.10285,-0.308752,0.002425,173.07452,-7.969462,83.080926
79.062958,75.550146,-943.248037,0.34424,0.134585,-0.296916,0.00245,173.125317,-7.970965,83.121603
66.129819,76.357369,-947.758275,0.350043,0.148451,-0.288487,0.00245,173.176636,-7.97009,83.16137
53.86774,80.959847,-954.824696,0.352334,0.143842,-0.276862,0.00245,173.226881,-7.96454,83.199631
45.998048,80.451563,-962.275243,0.351265,0.127535,-0.262176,0.002425,173.27701,-7.954096,83.235139
44.289898,77.670134,-973.391998,0.349432,0.116976,-0.241907,0.00245,173.328656,-7.942078,83.267854
40.324549,69.247825,-983.701338,0.34592,0.121727,-0.21334,0.00245,173.383104,-7.92986,83.296232
37.091264,66.299982,-993.039958,0.341949,0.140228,-0.181863,0.00245,173.438441,-7.919652,83.320343
40.324549,66.635631,-1002.485694,0.337214,0.173265,-0.146819,0.00245,173.493506,-7.915582,83.340062
42.764763,60.09415,-1010.662045,0.32912,0.2267,-0.105108,0.002425,173.549685,-7.919948,83.354295
42.764763,47.674312,-1013.011143,0.319804,0.284217,-0.065421,0.00245,173.609297,-7.933266,83.363472
40.446559,31.503174,-1014.86156,0.314764,0.324498,-0.026482,0.00245,173.673731,-7.952002,83.367073
